activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id
1779624,CHEMBL908895,CHEMBL214566,EC50,91.2,nM,=,,,,7.04,,,,,CHEMBL1137338,593611,CHEMBL2095198
1779625,CHEMBL908895,CHEMBL214566,EC50,3388.44,nM,=,,,,5.47,,,,,CHEMBL1137338,593610,CHEMBL2095198
1779626,CHEMBL908895,CHEMBL214566,EC50,67.61,nM,=,,,,7.17,,,,,CHEMBL1137338,593609,CHEMBL2095198
1779627,CHEMBL908895,CHEMBL384173,EC50,10000.0,nM,<,,,,,,,,,CHEMBL1137338,593608,CHEMBL2095198
1779628,CHEMBL908895,CHEMBL384173,EC50,1584.89,nM,=,,,,5.80,,,,,CHEMBL1137338,593607,CHEMBL2095198
1779629,CHEMBL908895,CHEMBL384173,EC50,3467.37,nM,=,,,,5.46,,,,,CHEMBL1137338,593606,CHEMBL2095198
1779630,CHEMBL908895,CHEMBL409831,EC50,1737.8,nM,=,,,,5.76,,,,,CHEMBL1137338,593605,CHEMBL2095198
1779631,CHEMBL908895,CHEMBL426874,EC50,281.84,nM,=,,,,6.55,,,,,CHEMBL1137338,593604,CHEMBL2095198
1779632,CHEMBL908895,CHEMBL265269,EC50,14.45,nM,=,,,,7.84,,,,,CHEMBL1137338,593603,CHEMBL2095198
1779633,CHEMBL908895,CHEMBL386628,EC50,257.04,nM,=,,,,6.59,,,,,CHEMBL1137338,593602,CHEMBL2095198
1779634,CHEMBL908895,CHEMBL386228,EC50,10000.0,nM,=,,,,5.00,,,,,CHEMBL1137338,593599,CHEMBL2095198
1779635,CHEMBL908895,CHEMBL386228,EC50,2511.89,nM,=,,,,5.60,,,,,CHEMBL1137338,593598,CHEMBL2095198
1779638,CHEMBL908895,CHEMBL426874,EC50,436.52,nM,=,,,,6.36,,,,,CHEMBL1137338,593685,CHEMBL2095198
1779640,CHEMBL908895,CHEMBL426874,EC50,549.54,nM,=,,,,6.26,,,,,CHEMBL1137338,593686,CHEMBL2095198
1779660,CHEMBL908895,CHEMBL11458,EC50,52.48,nM,=,,,,7.28,,,,,CHEMBL1137338,593634,CHEMBL2095198
1779661,CHEMBL908895,CHEMBL3138607,EC50,158.49,nM,=,,,,6.80,,,,,CHEMBL1137338,593633,CHEMBL2095198
1779662,CHEMBL908895,CHEMBL2062142,EC50,2344.23,nM,=,,,,5.63,,,,,CHEMBL1137338,593632,CHEMBL2095198
1779663,CHEMBL908895,CHEMBL11684,EC50,602.56,nM,=,,,,6.22,,,,,CHEMBL1137338,593631,CHEMBL2095198
1779664,CHEMBL908895,CHEMBL18861,EC50,1348.96,nM,=,,,,5.87,,,,,CHEMBL1137338,593630,CHEMBL2095198
1779716,CHEMBL908895,CHEMBL384926,EC50,512.86,nM,=,,,,6.29,,,,,CHEMBL1137338,593652,CHEMBL2095198
1779717,CHEMBL908895,CHEMBL214561,EC50,1.175,nM,=,,,,8.93,,,,,CHEMBL1137338,593651,CHEMBL2095198
1779718,CHEMBL908895,CHEMBL451561,EC50,10000.0,nM,<,,,,,,,,,CHEMBL1137338,593650,CHEMBL2095198
1779719,CHEMBL908895,CHEMBL214466,EC50,10000.0,nM,<,,,,,,,,,CHEMBL1137338,593649,CHEMBL2095198
